Color Space,Blank Row 1,Blank Row 2,Blank Row 3,Blank Row 4,Std Dev (σ_blank),LOD (g/dL)
R,156.96041884816754,143.0102617801047,136.890890052356,137.28419419197516,9.376104084066238,3.181181053014625
G,130.36230366492146,118.4896335078534,113.86659685863874,111.86078474839282,8.290115740413583,55.960313205566266
B,48.924188481675394,33.04774869109948,30.985968586387436,23.772334293948127,10.601798635374353,8.287833296491009
X,0.2248176702298083,0.18141915530231456,0.16548984648467593,0.1630548728632713,0.02859892735784405,20.617001188797673
Y,0.23448356681824345,0.19024211772669516,0.17413540244467973,0.16966098777928323,0.029586318752545984,30.837009619396234
Z,0.062385894488974365,0.041585400057198255,0.037845807899590876,0.03267577767456649,0.013030933045963321,7.253762861335904
L,55.531191601317204,50.71552067931569,48.77692787422711,48.21729178894914,3.324359306568234,19.389267868675738
a*,0.8957356518385362,0.3175766470905894,-0.011600905277020512,1.024497305946781,0.4878269167457265,0.7918133160036281
b*,46.22649356824932,47.67376192393783,46.41401517846828,48.56792102527535,1.1044540635659241,1.086343044431158
H,45.22822477625307,46.62055226816945,46.95568088337657,46.561716388179335,0.7622259725546728,0.1720226550491567
S,68.83023832333092,76.8913445232942,77.36447723107332,82.68385196572197,5.714090934198866,4.282045780027312
V,61.55310543065393,56.08245560004106,53.682701981316086,53.83693889881379,3.676903562378913,63.29100070756773
Grayscale,129.01549893193715,116.06662546596858,111.28877981151831,109.40657240079804,8.837169207298539,10.749524741210829
Delta E,0.0,0.0,0.0,0.0,0.0,0.0
